ch1,ch1_win,ch2_win
芽衣,51988,希儿,48012
芽衣,55079,琪亚娜,44921
芽衣,65022,德丽莎,34978
芽衣,48614,樱莲组,51386
芽衣,23520,丽塔,76480
芽衣,56743,渡鸦,43257
芽衣,54339,阿琳姐妹,45661
希儿,52013,芽衣,47987
希儿,61512,琪亚娜,38488
希儿,31183,德丽莎,68817
希儿,55675,樱莲组,44325
希儿,11815,丽塔,88185
希儿,24674,渡鸦,75326
希儿,50119,阿琳姐妹,49881
琪亚娜,55041,芽衣,44959
琪亚娜,61553,希儿,38447
琪亚娜,81238,德丽莎,18762
琪亚娜,53741,樱莲组,46259
琪亚娜,60589,丽塔,39411
琪亚娜,42358,渡鸦,57642
琪亚娜,49639,阿琳姐妹,50361
德丽莎,65528,芽衣,34472
德丽莎,31815,希儿,68185
德丽莎,81231,琪亚娜,18769
德丽莎,84996,樱莲组,15004
德丽莎,30092,丽塔,69908
德丽莎,58588,渡鸦,41412
德丽莎,49756,阿琳姐妹,50244
樱莲组,49036,芽衣,50964
樱莲组,55631,希儿,44369
樱莲组,53511,琪亚娜,46489
樱莲组,84886,德丽莎,15114
樱莲组,16476,丽塔,83524
樱莲组,7826,渡鸦,92174
樱莲组,49657,阿琳姐妹,50343
丽塔,23659,芽衣,76341
丽塔,11592,希儿,88408
丽塔,60726,琪亚娜,39274
丽塔,30206,德丽莎,69794
丽塔,16617,樱莲组,83383
丽塔,86985,渡鸦,13015
丽塔,80073,阿琳姐妹,19927
渡鸦,56800,芽衣,43200
渡鸦,24691,希儿,75309
渡鸦,42126,琪亚娜,57874
渡鸦,58306,德丽莎,41694
渡鸦,7503,樱莲组,92497
渡鸦,86997,丽塔,13003
渡鸦,50120,阿琳姐妹,49880
阿琳姐妹,54544,芽衣,45456
阿琳姐妹,49966,希儿,50034
阿琳姐妹,50151,琪亚娜,49849
阿琳姐妹,50118,德丽莎,49882
阿琳姐妹,50198,樱莲组,49802
阿琳姐妹,79954,丽塔,20046
阿琳姐妹,49910,渡鸦,50090
