ch1,ch1_win,ch2_win
芽衣,16185,希儿,83815
芽衣,19822,琪亚娜,80178
芽衣,50805,德丽莎,49195
芽衣,11424,樱莲组,88576
芽衣,139,丽塔,99861
芽衣,25525,渡鸦,74475
芽衣,50222,阿琳姐妹,49778
希儿,61446,琪亚娜,38554
希儿,40605,德丽莎,59395
希儿,55469,樱莲组,44531
希儿,11675,丽塔,88325
希儿,24445,渡鸦,75555
希儿,50275,阿琳姐妹,49725
琪亚娜,87304,德丽莎,12696
琪亚娜,53666,樱莲组,46334
琪亚娜,60243,丽塔,39757
琪亚娜,42197,渡鸦,57803
琪亚娜,49796,阿琳姐妹,50204
德丽莎,79276,樱莲组,20724
德丽莎,26270,丽塔,73730
德丽莎,50784,渡鸦,49216
德丽莎,49917,阿琳姐妹,50083
樱莲组,16535,丽塔,83465
樱莲组,7467,渡鸦,92533
樱莲组,50065,阿琳姐妹,49935
丽塔,89622,渡鸦,10378
丽塔,80010,阿琳姐妹,19990
渡鸦,50014,阿琳姐妹,49986
